gene	Gene.ontology.IDs
ENSGACT00000016871.1	GO:0005829;GO:0008299;GO:0035269;GO:0042803;GO:0047349;GO:0048747;GO:0048854;GO:0060049;GO:0070567
ENSGACT00000018734.1	
ENSGACT00000009965.1	
ENSGACT00000013306.1	GO:0001889;GO:0005634;GO:0006355;GO:0007519;GO:0008284;GO:0030154;GO:0043565;GO:0045627;GO:0045629;GO:0046622;GO:0048484;GO:0048557
ENSGACT00000018340.1	GO:0000294;GO:0000932;GO:0001525;GO:0001933;GO:0002230;GO:0002757;GO:0003677;GO:0003682;GO:0003729;GO:0003730;GO:0004518;GO:0004521;GO:0004532;GO:0004843;GO:0005634;GO:0005654;GO:0005737;GO:0005791;GO:0005856;GO:0006915;GO:0006954;GO:0006974;GO:0007399;GO:0010508;GO:0010595;GO:0010656;GO:0010884;GO:0010942;GO:0016579;GO:0030154;GO:0030867;GO:0032088;GO:0032991;GO:0034599;GO:0035198;GO:0035613;GO:0035925;GO:0042149;GO:0042307;GO:0042406;GO:0043022;GO:0043124;GO:0044828;GO:0045019;GO:0045600;GO:0045766;GO:0045944;GO:0046872;GO:0050713;GO:0050852;GO:0051259;GO:0055118;GO:0061014;GO:0061158;GO:0071222;GO:0071347;GO:0071356;GO:0090501;GO:0090502;GO:0098586;GO:1900016;GO:1900119;GO:1900165;GO:1900745;GO:1901223;GO:1902714;GO:1903003;GO:1903799;GO:1903936;GO:1904468;GO:1904637;GO:1990869;GO:2000320;GO:2000379;GO:2000627
ENSGACT00000018487.1	GO:0008146;GO:0015015;GO:0016021;GO:0017095;GO:0050656;GO:0070492
ENSGACT00000005566.1	GO:0008146;GO:0015015;GO:0016021;GO:0017095;GO:0050656;GO:0070492
ENSGACT00000018491.1	GO:0008146;GO:0015015;GO:0016021;GO:0017095;GO:0050656;GO:0070492
ENSGACT00000018563.1	GO:0001501;GO:0005201;GO:0005581;GO:0005615;GO:0030198;GO:0030282;GO:0031012;GO:0046872;GO:0048570
ENSGACT00000021245.1	GO:0001501;GO:0005201;GO:0005581;GO:0005615;GO:0030198;GO:0030282;GO:0031012;GO:0046872;GO:0048570
ENSGACT00000018555.1	GO:0001501;GO:0005201;GO:0005581;GO:0005615;GO:0030198;GO:0030282;GO:0031012;GO:0046872;GO:0048570
ENSGACT00000025826.1	GO:0001947;GO:0003677;GO:0003723;GO:0003906;GO:0004519;GO:0004528;GO:0005634;GO:0005730;GO:0005739;GO:0005783;GO:0006284;GO:0008311;GO:0010628;GO:0016607;GO:0043066;GO:0046872;GO:0055114;GO:0060047;GO:0080111;GO:0140078
ENSGACT00000025819.1	GO:0001947;GO:0003677;GO:0003723;GO:0003906;GO:0004519;GO:0004528;GO:0005634;GO:0005730;GO:0005739;GO:0005783;GO:0006284;GO:0008311;GO:0010628;GO:0016607;GO:0043066;GO:0046872;GO:0055114;GO:0060047;GO:0080111;GO:0140078
ENSGACT00000025824.1	GO:0001947;GO:0003677;GO:0003723;GO:0003906;GO:0004519;GO:0004528;GO:0005634;GO:0005730;GO:0005739;GO:0005783;GO:0006284;GO:0008311;GO:0010628;GO:0016607;GO:0043066;GO:0046872;GO:0055114;GO:0060047;GO:0080111;GO:0140078
ENSGACT00000025821.1	GO:0001947;GO:0003677;GO:0003723;GO:0003906;GO:0004519;GO:0004528;GO:0005634;GO:0005730;GO:0005739;GO:0005783;GO:0006284;GO:0008311;GO:0010628;GO:0016607;GO:0043066;GO:0046872;GO:0055114;GO:0060047;GO:0080111;GO:0140078
ENSGACT00000015791.1	GO:0005615;GO:0016021;GO:0031012;GO:0051965
ENSGACT00000001055.1	GO:0005615;GO:0016021;GO:0031012;GO:0051965
ENSGACT00000000828.1	GO:0005615;GO:0016021;GO:0031012;GO:0051965
ENSGACT00000017175.1	GO:0004351;GO:0019752;GO:0030170;GO:0042136
ENSGACT00000011888.1	GO:0005524;GO:0005634;GO:0005886;GO:0061631
ENSGACT00000001449.1	GO:0003824;GO:0005739
ENSGACT00000001516.1	GO:0016021
ENSGACT00000015617.1	GO:0016021;GO:0016266;GO:0035252
ENSGACT00000015624.1	GO:0016021;GO:0016266;GO:0035252
ENSGACT00000009191.1	GO:0016021
ENSGACT00000022538.1	GO:0016021
ENSGACT00000026202.1	GO:0016491
ENSGACT00000026206.1	GO:0016491
ENSGACT00000026200.1	GO:0016491
ENSGACT00000008097.1	GO:0005125;GO:0005138;GO:0005615;GO:0006953;GO:0006955;GO:0008083
