"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Otu00093" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Turicibacter" ""
"Otu00094" "Bacteria" "Firmicutes" "Bacilli" "Bacilli_unclassified" "Bacilli_unclassified" "Bacilli_unclassified" ""
"Otu00095" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" ""
"Otu00096" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnospiraceae_unclassified" ""
"Otu00097" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiales_unclassified" "Rhizobiales_unclassified" ""
"Otu00098" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVb" ""
"Otu00099" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Neisseriaceae_unclassified" ""
"Otu00100" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Rhodobacteraceae_unclassified" ""
"Otu00101" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetales_unclassified" "Actinomycetales_unclassified" ""
"Otu00102" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Clostridium_XI" ""
"Otu00103" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" ""
"Otu00104" "Bacteria" "Bacteroidetes" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" ""
"Otu00105" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Clostridium_III" ""
"Otu00106" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiales_unclassified" "Rhizobiales_unclassified" ""
"Otu00107" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" ""
"Otu00108" "Bacteria" "Acidobacteria" "Acidobacteria_Gp16" "Gp16" "Gp16_unclassified" "Gp16_unclassified" ""
"Otu00109" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Comamonadaceae_unclassified" ""
"Otu00110" "Bacteria" "Firmicutes" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" ""
"Otu00111" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Spartobacteria_unclassified" "Spartobacteria_unclassified" "Spartobacteria_unclassified" ""
"Otu00112" "Bacteria" "Bacteroidetes" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" ""
"Otu00113" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Polyangiaceae" "Polyangiaceae_unclassified" ""
"Otu00114" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium" ""
"Otu00115" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Deltaproteobacteria_unclassified" "Deltaproteobacteria_unclassified" "Deltaproteobacteria_unclassified" ""
"Otu00116" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Saccharofermentans" ""
"Otu00117" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Planococcaceae" "Lysinibacillus" ""
"Otu00118" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Pseudonocardiaceae" "Pseudonocardia" ""
